,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
0,1,Wii Sports,Nintendo Wii,Nintendo,Nintendo EAD,7.7,8.0,82.9,2006
1,2,Super Mario Bros.,Nintendo Entertainment System,Nintendo,Nintendo EAD,10.0,8.2,40.24,1985
3,4,Mario Kart Wii,Nintendo Wii,Nintendo,Nintendo EAD,8.2,9.1,37.32,2008
6,7,Wii Sports Resort,Nintendo Wii,Nintendo,Nintendo EAD,8.0,8.8,33.13,2009
7,8,Pokemon Red / Green / Blue Version,Game Boy,Nintendo,Game Freak,9.4,8.8,31.38,1998
8,9,New Super Mario Bros.,Nintendo DS,Nintendo,Nintendo EAD,9.1,8.1,30.8,2006
9,10,New Super Mario Bros. Wii,Nintendo Wii,Nintendo,Nintendo EAD,8.6,9.2,30.3,2009
10,11,Tetris,Game Boy,Nintendo,Bullet Proof Software,9.4,8.7,30.26,1989
12,13,Duck Hunt,Nintendo Entertainment System,Nintendo,Nintendo R&D1,7.5,8.3,28.31,1985
13,14,Wii Play,Nintendo Wii,Nintendo,Nintendo EAD,5.9,6.5,28.02,2007
14,15,Mario Kart 8 Deluxe,Nintendo Switch,Nintendo,Nintendo EPD,9.3,8.7,24.77,2017
16,17,Nintendogs,Nintendo DS,Nintendo,Nintendo EAD,8.4,8.5,23.96,2005
17,18,Mario Kart DS,Nintendo DS,Nintendo,Nintendo EAD,9.1,9.4,23.6,2005
18,19,Pokemon Gold / Silver Version,Game Boy,Nintendo,Game Freak,9.2,8.8,23.1,2000
19,20,Wii Fit,Nintendo Wii,Nintendo,Nintendo EAD,7.9,,22.67,2008
20,21,Wii Fit Plus,Nintendo Wii,Nintendo,Nintendo EAD,8.0,,21.13,2009
21,22,Super Mario World,Super Nintendo Entertainment System,Nintendo,Nintendo EAD,8.5,9.3,20.61,1991
24,25,Brain Age: Train Your Brain in Minutes a Day,Nintendo DS,Nintendo,Nintendo SDD,8.1,,19.01,2006
25,26,Super Smash Bros. Ultimate,Nintendo Switch,Nintendo,Bandai Namco Games,9.4,9.7,18.84,2018
26,27,Mario Kart 7,Nintendo 3DS,Nintendo,Nintendo EAD / Retro Studios,8.2,8.3,18.71,2011
27,28,Super Mario Land,Game Boy,Nintendo,Nintendo R&D1,,,18.14,1989
28,29,Pokemon Diamond / Pearl Version,Nintendo DS,Nintendo,Game Freak,8.6,,17.67,2007
29,30,Super Mario Odyssey,Nintendo Switch,Nintendo,Nintendo EPD,9.9,9.0,17.41,2017
30,31,The Legend of Zelda: Breath of the Wild,Nintendo Switch,Nintendo,Nintendo EPD,9.9,10.0,17.41,2017
31,32,Pokemon Sword / Shield,Nintendo Switch,Nintendo,Game Freak,8.0,4.6,17.37,2019
33,34,Super Mario Bros. 3,Nintendo Entertainment System,Nintendo,Nintendo R&D2,9.8,9.3,17.28,1990
35,36,Pokemon X/Y,Nintendo 3DS,Nintendo,Game Freak,8.9,9.7,16.45,2013
37,38,Pokemon Ruby / Sapphire Version,Game Boy Advance,Nintendo,Game Freak,8.8,8.6,16.22,2003
38,39,Pokemon Sun/Moon,Nintendo 3DS,Nintendo,Game Freak,9.0,7.7,16.18,2016
41,42,Pokemon Black / White Version,Nintendo DS,Nintendo,Game Freak,8.6,9.0,15.64,2011
46,47,Brain Age 2: More Training in Minutes a Day,Nintendo DS,Nintendo,Nintendo SDD,8.0,,14.88,2007
49,50,Pokemon Yellow: Special Pikachu Edition,Game Boy,Nintendo,Game Freak,8.7,8.8,14.64,1999
51,52,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo 3DS,Nintendo,Game Freak,8.3,7.4,14.27,2014
57,58,Animal Crossing: New Horizons,Nintendo Switch,Nintendo,Nintendo,9.0,5.4,13.41,2020
60,61,New Super Mario Bros. 2,Nintendo 3DS,Nintendo,Nintendo,7.5,7.3,13.34,2012
61,62,Super Smash Bros. Brawl,Nintendo Wii,Nintendo,Project Sora,9.2,9.7,13.32,2008
66,67,Super Mario Galaxy,Nintendo Wii,Nintendo,Nintendo EAD Tokyo,9.7,9.6,12.8,2007
67,68,Pokemon Heart Gold / Soul Silver Version,Nintendo DS,Nintendo,Game Freak,8.6,,12.72,2010
68,69,Super Mario 3D Land,Nintendo 3DS,Nintendo,Nintendo EAD Tokyo,8.9,8.4,12.7,2011
71,72,Animal Crossing: New Leaf,Nintendo 3DS,Nintendo,Nintendo EAD,8.6,8.8,12.55,2013
75,76,Pokemon FireRed / LeafGreen Version,Game Boy Advance,Nintendo,Game Freak,8.3,,12.0,2004
77,78,"Pokemon: Let's Go, Pikachu/Eevee",Nintendo Switch,Nintendo,Game Freak,8.0,6.2,11.97,2018
79,80,Super Mario 64,Nintendo 64,Nintendo,Nintendo EAD,9.7,9.0,11.91,1996
83,84,Animal Crossing: Wild World,Nintendo DS,Nintendo,Nintendo EAD,8.5,,11.75,2005
84,85,Super Mario Land 2: 6 Golden Coins,Game Boy,Nintendo,Nintendo R&D1,9.0,8.5,11.18,1992
86,87,Super Mario 64 DS,Nintendo DS,Nintendo,Nintendo EAD,8.6,,11.06,2004
94,95,Super Mario All-Stars,Super Nintendo Entertainment System,Nintendo,Nintendo EAD,9.2,9.5,10.55,1993
96,97,Just Dance 3,Nintendo Wii,Ubisoft,Ubisoft Paris,7.5,,10.14,2011
98,99,Splatoon 2,Nintendo Switch,Nintendo,Nintendo EPD,8.2,8.5,10.13,2017
99,100,Super Mario Party,Nintendo Switch,Nintendo,"Nd Cube Co., Ltd.",7.3,7.5,10.1,2018
106,107,Mario Kart 64,Nintendo 64,Nintendo,Nintendo EAD,8.5,,9.87,1997
107,108,Super Smash Bros. for 3DS,Nintendo 3DS,Nintendo,Bandai Namco Games,8.4,,9.59,2014
110,111,Wii Party,Nintendo Wii,Nintendo,"Nd Cube Co., Ltd.",7.0,,9.34,2010
112,113,Mario Party DS,Nintendo DS,Nintendo,Hudson Soft,7.1,,9.31,2007
113,114,Donkey Kong Country,Super Nintendo Entertainment System,Nintendo,Rare Ltd.,9.0,8.8,9.3,1994
119,120,Mario Party 8,Nintendo Wii,Nintendo,Hudson Soft,6.5,,8.85,2007
120,121,Pokemon: Ultra Sun and Ultra Moon,Nintendo 3DS,Nintendo,Game Freak,8.1,,8.77,2017
121,122,Super Mario Kart,Super Nintendo Entertainment System,Nintendo,Nintendo EAD,10.0,,8.76,1992
125,126,Pokemon Black 2 and White 2,Nintendo DS,Nintendo,Game Freak,8.0,8.3,8.52,2012
128,129,Mario Kart 8,Nintendo Wii U,Nintendo,Nintendo,8.8,8.9,8.45,2014
132,133,GoldenEye 007,Nintendo 64,Nintendo,Rare Ltd.,9.8,,8.09,1997
141,142,Pokemon Platinum Version,Nintendo DS,Nintendo,Game Freak,8.3,8.9,7.6,2009
142,143,The Legend of Zelda: Ocarina of Time,Nintendo 64,Nintendo,Nintendo EAD,9.9,10.0,7.6,1998
146,147,Super Mario Bros. 2,Nintendo Entertainment System,Nintendo,Nintendo EAD,8.5,8.1,7.46,1988
147,148,Super Mario Galaxy 2,Nintendo Wii,Nintendo,Nintendo EAD Tokyo,9.7,9.8,7.41,2010
148,149,Super Smash Bros. Melee,Nintendo GameCube,Nintendo,HAL Laboratory,9.2,,7.41,2001
151,152,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,Nintendo 3DS,Nintendo,Level 5,,,7.29,2016
152,153,The Legend of Zelda: Twilight Princess,Nintendo Wii,Nintendo,Nintendo EAD,9.5,9.6,7.26,2006
159,160,Pokemon Emerald Version,Game Boy Advance,Nintendo,Game Freak,7.7,,7.06,2005
162,163,Just Dance 4,Nintendo Wii,Ubisoft,Ubisoft,,,6.89,2012
163,164,Mario Kart: Double Dash!!,Nintendo GameCube,Nintendo,Nintendo EAD,8.5,,6.88,2003
171,172,New Super Mario Bros. U Deluxe,Nintendo Switch,Nintendo,Nintendo EPD,8.0,6.6,6.6,2019
172,173,Tomodachi Life,Nintendo 3DS,Nintendo,Nintendo,7.8,7.6,6.59,2014
174,175,Donkey Kong Country Returns,Nintendo Wii,Nintendo,Retro Studios,8.6,,6.53,2010
175,176,The Legend of Zelda,Nintendo Entertainment System,Nintendo,Nintendo EAD,8.4,8.8,6.51,1987
181,182,Pokemon Crystal Version,Game Boy Color,Nintendo,Game Freak,8.7,,6.39,2001
184,185,Luigi's Mansion 3,Nintendo Switch,Nintendo,"Next Level Games, Inc.",8.6,8.5,6.33,2019
188,189,Street Fighter II: The World Warrior,Super Nintendo Entertainment System,Capcom,Capcom,,,6.3,1992
191,192,Luigi's Mansion: Dark Moon,Nintendo 3DS,Nintendo,Next Level Games,8.6,8.5,6.16,2013
192,193,Big Brain Academy,Nintendo DS,Nintendo,Nintendo EAD,7.7,,6.15,2006
195,196,The Legend of Zelda: Ocarina of Time 3D,Nintendo 3DS,Nintendo,GREZZO,9.3,9.0,6.02,2011
201,202,Mario Kart: Super Circuit,Game Boy Advance,Nintendo,Intelligent Systems,9.3,,5.91,2001
202,203,Super Mario Sunshine,Nintendo GameCube,Nintendo,Nintendo EAD,9.2,,5.91,2002
203,204,Super Mario 3D World,Nintendo Wii U,Nintendo,Nintendo EAD Tokyo,9.5,8.9,5.84,2013
205,206,New Super Mario Bros. U,Nintendo Wii U,Nintendo,Nintendo EAD,8.4,8.0,5.8,2012
206,207,Link's Crossbow Training,Nintendo Wii,Nintendo,Nintendo EAD,6.9,,5.79,2007
211,212,Super Mario World: Super Mario Advance 2,Game Boy Advance,Nintendo,Nintendo EAD,9.4,,5.69,2002
212,213,LEGO Star Wars: The Complete Saga,Nintendo Wii,LucasArts,Traveller's Tales,8.0,,5.66,2007
213,214,Cooking Mama,Nintendo DS,Majesco,Office Create,6.6,,5.66,2006
214,215,Tetris,Nintendo Entertainment System,Nintendo,Nintendo,,,5.58,1989
215,216,Super Mario Advance,Game Boy Advance,Nintendo,Nintendo EAD,8.2,,5.57,2001
217,218,Super Smash Bros.,Nintendo 64,Nintendo,HAL Laboratory,8.4,,5.55,1999
221,222,Dragon Quest IX: Sentinels of the Starry Skies,Nintendo DS,Nintendo,Level 5,8.6,,5.5,2010
226,227,Super Mario Maker 2,Nintendo Switch,Nintendo,Nintendo,8.8,8.5,5.48,2019
227,228,Pokemon Stadium,Nintendo 64,Nintendo,HAL Laboratory,7.5,,5.46,2000
230,231,Super Mario Advance 4: Super Mario Bros. 3,Game Boy Advance,Nintendo,Nintendo EAD,9.2,,5.43,2003
232,233,Super Smash Bros. for Wii U,Nintendo Wii U,Nintendo,Bandai Namco Games,9.2,8.9,5.37,2014
235,236,Dr. Mario,Game Boy,Nintendo,Nintendo R&D1,,,5.34,1990
237,238,Pokemon Pinball,Game Boy Color,Nintendo,Jupiter Corporation,8.7,,5.31,1999
240,241,Donkey Kong 64,Nintendo 64,Nintendo,Rare Ltd.,9.3,,5.27,1999
241,242,Just Dance 2,Nintendo Wii,Ubisoft,Ubisoft Paris,7.3,,5.25,2010
248,249,Nintendo Land,Nintendo Wii U,Nintendo,Nintendo,7.8,7.9,5.2,2012
249,250,Super Mario Land 3: Wario Land,Game Boy,Nintendo,Nintendo R&D1,7.9,,5.19,1994
250,251,Donkey Kong Country 2: Diddy's Kong Quest,Super Nintendo Entertainment System,Nintendo,Rare Ltd.,9.3,,5.15,1995
253,254,Kirby's Dream Land,Game Boy,Nintendo,HAL Laboratory,,,5.13,1992
259,260,Mario & Sonic at the Olympic Games,Nintendo DS,Sega,Sega,7.0,,5.1,2008
262,263,Super Mario Bros. Deluxe,Game Boy,Nintendo,Nintendo EAD,9.7,,5.07,1999
276,277,Splatoon,Nintendo Wii U,Nintendo,Nintendo EAD,8.4,8.7,4.95,2015
281,282,Diddy Kong Racing,Nintendo 64,Nintendo,Rare Ltd.,8.3,,4.88,1997
282,283,Pokemon Mystery Dungeon: Explorers of Time / Darkness,Nintendo DS,Nintendo,ChunSoft,6.4,,4.88,2008
284,285,Dr. Mario,Nintendo Entertainment System,Nintendo,Nintendo R&D1,,,4.85,1990
289,290,LEGO Star Wars: The Complete Saga,Nintendo DS,LucasArts,Traveller's Tales,7.8,,4.77,2007
290,291,The Legend of Zelda: Phantom Hourglass,Nintendo DS,Nintendo,Nintendo EAD,9.1,,4.76,2007
300,301,The Legend of Zelda: A Link to the Past,Super Nintendo Entertainment System,Nintendo,Nintendo EAD,10.0,,4.61,1992
303,304,Guitar Hero III: Legends of Rock,Nintendo Wii,RedOctane,Vicarious Visions,8.6,,4.6,2007
304,305,Nintendogs + cats,Nintendo 3DS,Nintendo,Nintendo EAD,7.2,,4.59,2011
