,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
36,37,Uncharted 4: A Thief's End,Sony Playstation 4,Sony Interactive Entertainment,Naughty Dog,9.2,8.4,16.25,2016
45,46,Gran Turismo 3: A-Spec,Sony PlayStation 2,Sony Computer Entertainment,Polyphony Digital,9.3,8.9,14.89,2001
62,63,Marvel's Spider-Man,Sony Playstation 4,Sony Interactive Entertainment,Insomniac Games,9.1,8.7,13.2,2018
78,79,Gran Turismo 5,Sony PlayStation 3,Sony Computer Entertainment,Polyphony Digital,8.3,,11.95,2010
81,82,The Last of Us Remastered,Sony Playstation 4,Sony Computer Entertainment,Naughty Dog,9.5,9.1,11.78,2014
82,83,Gran Turismo 4,Sony PlayStation 2,Sony Computer Entertainment,Polyphony Digital,8.7,,11.76,2005
87,88,God of War (2018),Sony Playstation 4,Sony Interactive Entertainment,SIE Santa Monica Studio,9.7,10.0,11.0,2018
90,91,Gran Turismo,Sony PlayStation,Sony Computer Entertainment,Polyphony Digital,9.5,,10.85,1998
100,101,Horizon: Zero Dawn,Sony Playstation 4,Sony Interactive Entertainment,Guerrilla Games,9.1,8.0,10.0,2017
105,106,Final Fantasy VII,Sony PlayStation,Sony Computer Entertainment,SquareSoft,9.6,9.5,9.9,1997
109,110,Gran Turismo 2,Sony PlayStation,Sony Computer Entertainment,Polyphony Digital,9.2,,9.37,1999
115,116,Uncharted 3: Drake's Deception,Sony PlayStation 3,Sony Computer Entertainment,Naughty Dog,9.3,6.3,9.3,2011
131,132,The Last of Us,Sony PlayStation 3,Sony Computer Entertainment America,Naughty Dog,9.5,,8.15,2013
140,141,God of War III,Sony PlayStation 3,Sony Computer Entertainment,SCEA Santa Monica Studio,9.2,9.4,7.6,2010
143,144,Crash Bandicoot 2: Cortex Strikes Back,Sony PlayStation,Sony Computer Entertainment,Naughty Dog,8.6,,7.58,1997
158,159,Crash Bandicoot 3: Warped,Sony PlayStation,Sony Computer Entertainment,Naughty Dog,9.3,,7.13,1998
165,166,Crash Bandicoot,Sony PlayStation,Sony Computer Entertainment,Naughty Dog,7.8,,6.82,1996
166,167,Uncharted 2: Among Thieves,Sony PlayStation 3,Sony Computer Entertainment,Naughty Dog,9.5,9.6,6.74,2009
183,184,Minecraft,Sony Playstation 4,Sony Computer Entertainment,Mojang,9.4,,6.33,2014
193,194,Minecraft,Sony PlayStation 3,Sony Computer Entertainment America,Mojang,9.5,,6.05,2014
210,211,Uncharted: The Nathan Drake Collection,Sony Playstation 4,Sony Computer Entertainment,Bluepoint Games,8.6,8.5,5.7,2015
234,235,Gran Turismo 5 Prologue,Sony PlayStation 3,Sony Computer Entertainment,Polyphony Digital,8.3,,5.35,2008
246,247,Gran Turismo 6,Sony PlayStation 3,Sony Computer Entertainment America,Polyphony Digital,,,5.22,2013
267,268,Spyro the Dragon,Sony PlayStation,Sony Computer Entertainment,Insomniac Games,8.7,,5.0,1998
273,274,Uncharted: Drake's Fortune,Sony PlayStation 3,Sony Computer Entertainment,Naughty Dog,8.7,8.6,4.97,2007
288,289,Crash Team Racing,Sony PlayStation,Sony Computer Entertainment,Naughty Dog,9.2,,4.79,1999
299,300,God of War,Sony PlayStation 2,Sony Computer Entertainment,SCEA Santa Monica Studio,9.3,,4.62,2005
317,318,LittleBigPlanet,Sony PlayStation 3,Sony Computer Entertainment,Media Molecule,9.4,9.2,4.5,2008
334,335,Resistance: Fall of Man,Sony PlayStation 3,Sony Computer Entertainment,Insomniac Games,8.5,9.1,4.37,2006
346,347,God of War II,Sony PlayStation 2,Sony Computer Entertainment,SCEA Santa Monica Studio,9.3,9.8,4.24,2007
390,390,EyeToy Play,Sony PlayStation 2,Sony Computer Entertainment,SCEE London Studio,7.5,,4.0,2003
394,394,The Last of Us: Part II,Sony Playstation 4,Sony Interactive Entertainment,Naughty Dog,9.4,5.6,4.0,2020
413,413,Sports Champions,Sony PlayStation 3,Sony Computer Entertainment,SCE San Diego Studio,7.6,,3.88,2010
420,419,Gran Turismo Sport,Sony Playstation 4,Sony Interactive Entertainment,Polyphony Digital,7.5,6.0,3.77,2017
428,427,Spyro: Year of the Dragon,Sony PlayStation,Sony Computer Entertainment,Insomniac Games,9.1,,3.71,2000
436,435,SOCOM: U.S. Navy SEALs,Sony PlayStation 2,Sony Computer Entertainment,Zipper Interactive,8.0,,3.65,2002
438,437,Jak and Daxter: The Precursor Legacy,Sony PlayStation 2,Sony Computer Entertainment,Naughty Dog,9.0,8.9,3.64,2001
457,456,The Getaway,Sony PlayStation 2,Sony Computer Entertainment,Team Soho,7.7,,3.54,2003
467,466,Spyro 2: Ripto's Rage!,Sony PlayStation,Sony Computer Entertainment,Insomniac Games,8.7,,3.52,1999
489,488,LittleBigPlanet 2,Sony PlayStation 3,Sony Computer Entertainment,Media Molecule,9.1,,3.43,2011
497,496,Crash Bash,Sony PlayStation,Sony Computer Entertainment,Eurocom Entertainment Software,6.8,,3.39,2000
511,510,Ratchet & Clank,Sony PlayStation 2,Sony Computer Entertainment,Insomniac Games,,,3.33,2002
532,531,Detroit: Become Human,Sony Playstation 4,Sony Interactive Entertainment,Quantic Dream,8.0,8.6,3.2,2018
580,579,Killzone 2,Sony PlayStation 3,Sony Computer Entertainment,Guerrilla Games,9.1,9.3,3.02,2009
586,585,Heavy Rain,Sony PlayStation 3,Sony Computer Entertainment,Quantic Dream,8.8,8.6,3.0,2010
588,587,MotorStorm,Sony PlayStation 3,Sony Computer Entertainment,Evolution Studios,8.2,,3.0,2007
609,608,SOCOM II: U.S. Navy SEALs,Sony PlayStation 2,Sony Computer Entertainment,Zipper Interactive,8.8,,2.94,2003
626,625,Hot Shots Golf 3,Sony PlayStation 2,Sony Computer Entertainment,Clap Hanz,8.0,,2.89,2002
633,632,Colin McRae Rally,Sony PlayStation,Sony Computer Entertainment,Codemasters,7.9,,2.87,2000
656,655,Killzone 3,Sony PlayStation 3,Sony Computer Entertainment,Guerrilla Games,8.2,,2.81,2011
662,661,Hot Shots Golf,Sony PlayStation,Sony Computer Entertainment,Camelot Software Planning,8.0,,2.79,1998
665,664,A Bug's Life,Sony PlayStation,Sony Computer Entertainment,Traveller's Tales,3.6,,2.79,1998
669,668,Jak II,Sony PlayStation 2,Sony Computer Entertainment,Naughty Dog,9.5,,2.78,2003
670,669,Ratchet & Clank: Going Commando,Sony PlayStation 2,Sony Computer Entertainment,Insomniac Games,8.7,,2.78,2003
740,739,Ratchet & Clank: Up Your Arsenal,Sony PlayStation 2,Sony Computer Entertainment,Insomniac Games,9.1,,2.57,2004
744,743,Ratchet & Clank Future: Tools of Destruction,Sony PlayStation 3,Sony Computer Entertainment,Insomniac Games,8.9,,2.57,2007
745,744,Hot Shots Golf,Sony PlayStation,Sony Computer Entertainment,Camelot Software Planning,8.0,,2.56,1998
767,766,Final Fantasy Tactics,Sony PlayStation,Sony Computer Entertainment,SquareSoft,8.8,,2.5,1998
786,785,Resistance 2,Sony PlayStation 3,Sony Computer Entertainment,Insomniac Games,8.5,8.7,2.47,2008
