,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
0,1,Wii Sports,Nintendo Wii,Nintendo,Nintendo EAD,7.7,8.0,82.9,2006
1,2,Super Mario Bros.,NES,Nintendo,Nintendo EAD,10.0,8.2,40.24,1985
2,4,Mario Kart Wii,Nintendo Wii,Nintendo,Nintendo EAD,8.2,9.1,37.32,2008
3,7,Wii Sports Resort,Nintendo Wii,Nintendo,Nintendo EAD,8.0,8.8,33.13,2009
4,10,New Super Mario Bros. Wii,Nintendo Wii,Nintendo,Nintendo EAD,8.6,9.2,30.3,2009
3036,12,Call of Duty: Modern Warfare,Sony Playstation 4,Activision,Infinity Ward,8.0,3.3,30.13,2019
5,13,Duck Hunt,NES,Nintendo,Nintendo R&D1,7.5,8.3,28.31,1985
6,14,Wii Play,Nintendo Wii,Nintendo,Nintendo EAD,5.9,6.5,28.02,2007
7,15,Mario Kart 8 Deluxe,Nintendo Switch,Nintendo,Nintendo EPD,9.3,8.7,24.77,2017
8776,16,Kinect Adventures!,Microsoft Xbox 360,Microsoft,Good Science Studio,6.7,,24.0,2010
8,20,Wii Fit,Nintendo Wii,Nintendo,Nintendo EAD,7.9,,22.67,2008
9,21,Wii Fit Plus,Nintendo Wii,Nintendo,Nintendo EAD,8.0,,21.13,2009
10,22,Super Mario World,SNES,Nintendo,Nintendo EAD,8.5,9.3,20.61,1991
3037,23,Grand Theft Auto V,Sony PlayStation 3,Rockstar Games,Rockstar North,9.4,8.3,20.32,2013
3038,24,Grand Theft Auto V,Sony Playstation 4,Rockstar Games,Rockstar North,9.7,8.4,19.39,2014
11,26,Super Smash Bros. Ultimate,Nintendo Switch,Nintendo,Bandai Namco Games,9.4,9.7,18.84,2018
12,30,Super Mario Odyssey,Nintendo Switch,Nintendo,Nintendo EPD,9.9,9.0,17.41,2017
13,31,The Legend of Zelda: Breath of the Wild,Nintendo Switch,Nintendo,Nintendo EPD,9.9,10.0,17.41,2017
14,32,Pokemon Sword / Shield,Nintendo Switch,Nintendo,Game Freak,8.0,4.6,17.37,2019
3039,33,Grand Theft Auto: San Andreas,Sony PlayStation 2,Rockstar Games,Rockstar North,9.5,9.1,17.3,2004
15,34,Super Mario Bros. 3,NES,Nintendo,Nintendo R&D2,9.8,9.3,17.28,1990
3040,37,Uncharted 4: A Thief's End,Sony Playstation 4,Sony,Naughty Dog,9.2,8.4,16.25,2016
3041,40,Grand Theft Auto: Vice City,Sony PlayStation 2,Rockstar Games,Rockstar North,9.6,8.8,16.15,2002
8777,41,Grand Theft Auto V,Microsoft Xbox 360,Rockstar Games,Rockstar North,10.0,,15.86,2013
3042,43,Call of Duty: Black Ops 3,Sony Playstation 4,Activision,Treyarch,8.1,4.9,15.09,2015
3043,46,Gran Turismo 3: A-Spec,Sony PlayStation 2,Sony,Polyphony Digital,9.3,8.9,14.89,2001
8778,48,Call of Duty: Modern Warfare 3,Microsoft Xbox 360,Activision,Infinity Ward,8.7,,14.82,2011
8779,49,Call of Duty: Black Ops,Microsoft Xbox 360,Activision,Treyarch,8.8,,14.74,2010
8780,51,Halo 3,Microsoft Xbox 360,Microsoft,Bungie Studios,9.6,9.5,14.5,2007
3044,54,Red Dead Redemption 2,Sony Playstation 4,Rockstar Games,Rockstar Games,9.8,7.9,13.94,2018
8781,55,Call of Duty: Black Ops II,Microsoft Xbox 360,Activision,Treyarch,9.3,,13.86,2012
3045,56,Call of Duty: Black Ops II,Sony PlayStation 3,Activision,Treyarch,9.3,,13.8,2012
8782,57,Call of Duty: Modern Warfare 2,Microsoft Xbox 360,Activision,Infinity Ward,9.5,9.0,13.53,2009
16,58,Animal Crossing: New Horizons,Nintendo Switch,Nintendo,Nintendo,9.0,5.4,13.41,2020
3046,59,Call of Duty: WWII,Sony Playstation 4,Activision,Sledgehammer Games,8.0,4.3,13.4,2017
3047,60,Call of Duty: Modern Warfare 3,Sony PlayStation 3,Activision,Infinity Ward,8.8,,13.35,2011
17,62,Super Smash Bros. Brawl,Nintendo Wii,Nintendo,Project Sora,9.2,9.7,13.32,2008
3048,63,Marvel's Spider-Man,Sony Playstation 4,Sony,Insomniac Games,9.1,8.7,13.2,2018
3049,64,Grand Theft Auto III,Sony PlayStation 2,Rockstar Games,DMA Design,9.5,,13.1,2001
8783,66,Minecraft,Microsoft Xbox 360,Microsoft,Mojang,8.5,,13.0,2013
18,67,Super Mario Galaxy,Nintendo Wii,Nintendo,Nintendo EAD Tokyo,9.7,9.6,12.8,2007
3050,70,Call of Duty: Black Ops,Sony PlayStation 3,Activision,Treyarch,8.7,,12.67,2010
19,78,"Pokemon: Let's Go, Pikachu/Eevee",Nintendo Switch,Nintendo,Game Freak,8.0,6.2,11.97,2018
3051,79,Gran Turismo 5,Sony PlayStation 3,Sony,Polyphony Digital,8.3,,11.95,2010
20,80,Super Mario 64,Nintendo 64,Nintendo,Nintendo EAD,9.7,9.0,11.91,1996
3052,81,FIFA 18,Sony Playstation 4,EA Sports,EA Vancouver,8.3,3.4,11.8,2017
3053,82,The Last of Us Remastered,Sony Playstation 4,Sony,Naughty Dog,9.5,9.1,11.78,2014
3054,83,Gran Turismo 4,Sony PlayStation 2,Sony,Polyphony Digital,8.7,,11.76,2005
8784,86,Grand Theft Auto IV,Microsoft Xbox 360,Rockstar Games,Rockstar North,10.0,,11.09,2008
3055,88,God of War (2018),Sony Playstation 4,Sony,SIE Santa Monica Studio,9.7,10.0,11.0,2018
3056,90,FIFA 17,Sony Playstation 4,Electronic Arts,EA Canada,8.9,4.8,10.94,2016
3057,91,Gran Turismo,Sony PlayStation,Sony,Polyphony Digital,9.5,,10.85,1998
3058,92,The Witcher 3: Wild Hunt,Sony Playstation 4,Warner Bros,CD Projekt Red Studio,9.2,9.2,10.8,2015
3059,93,Call of Duty: Modern Warfare 2,Sony PlayStation 3,Activision,Infinity Ward,9.5,,10.61,2009
3060,94,Grand Theft Auto IV,Sony PlayStation 3,Rockstar Games,Rockstar North,10.0,9.0,10.57,2008
21,95,Super Mario All-Stars,SNES,Nintendo,Nintendo EAD,9.2,9.5,10.55,1993
8785,96,Call of Duty: Ghosts,Microsoft Xbox 360,Activision,Infinity Ward,6.9,,10.41,2013
22,97,Just Dance 3,Nintendo Wii,Ubisoft,Ubisoft Paris,7.5,,10.14,2011
23,99,Splatoon 2,Nintendo Switch,Nintendo,Nintendo EPD,8.2,8.5,10.13,2017
3061,98,Call of Duty: Ghosts,Sony PlayStation 3,Activision,Infinity Ward,7.5,,10.13,2013
24,100,Super Mario Party,Nintendo Switch,Nintendo,"Nd Cube Co., Ltd.",7.3,7.5,10.1,2018
3062,101,Horizon: Zero Dawn,Sony Playstation 4,Sony,Guerrilla Games,9.1,8.0,10.0,2017
8786,103,Halo: Reach,Microsoft Xbox 360,Microsoft,Bungie,9.3,,9.97,2010
8787,105,Halo 4,Microsoft Xbox 360,Microsoft,343 Industries,9.8,,9.96,2012
3063,106,Final Fantasy VII,Sony PlayStation,Sony,SquareSoft,9.6,9.5,9.9,1997
25,107,Mario Kart 64,Nintendo 64,Nintendo,Nintendo EAD,8.5,,9.87,1997
8788,109,Call of Duty 4: Modern Warfare,Microsoft Xbox 360,Activision,Infinity Ward,9.6,9.0,9.41,2007
3064,110,Gran Turismo 2,Sony PlayStation,Sony,Polyphony Digital,9.2,,9.37,1999
26,111,Wii Party,Nintendo Wii,Nintendo,"Nd Cube Co., Ltd.",7.0,,9.34,2010
3065,112,Call of Duty: Black Ops IIII,Sony Playstation 4,Activision,Treyarch,8.3,4.0,9.32,2018
27,114,Donkey Kong Country,SNES,Nintendo,Rare Ltd.,9.0,8.8,9.3,1994
3066,116,Uncharted 3: Drake's Deception,Sony PlayStation 3,Sony,Naughty Dog,9.3,6.3,9.3,2011
3067,117,FIFA 19,Sony Playstation 4,Electronic Arts,EA Sports,8.3,1.7,9.15,2018
8789,119,The Elder Scrolls V: Skyrim,Microsoft Xbox 360,Bethesda Softworks,Bethesda Game Studios,9.3,,8.88,2011
28,120,Mario Party 8,Nintendo Wii,Nintendo,Hudson Soft,6.5,,8.85,2007
29,122,Super Mario Kart,SNES,Nintendo,Nintendo EAD,10.0,,8.76,1992
8790,123,Grand Theft Auto V,Microsoft Xbox One,Rockstar Games,Rockstar North,9.0,9.0,8.72,2014
3068,124,Final Fantasy VIII,Sony PlayStation,Square EA,SquareSoft,9.4,,8.6,1999
3069,125,Final Fantasy X,Sony PlayStation 2,Square,SquareSoft,9.0,10.0,8.6,2001
3070,127,Call of Duty: Infinite Warfare,Sony Playstation 4,Activision,Infinity Ward,7.7,3.8,8.48,2016
3071,128,Fallout 4,Sony Playstation 4,Bethesda Softworks,Bethesda Game Studios,8.6,6.6,8.48,2015
30,129,Mario Kart 8,Nintendo Wii U,Nintendo,Nintendo,8.8,8.9,8.45,2014
3072,130,Tekken 3,Sony PlayStation,Namco,Namco,9.6,,8.3,1998
3073,131,FIFA 16,Sony Playstation 4,EA Sports,EA Canada,8.5,4.4,8.22,2015
3074,132,The Last of Us,Sony PlayStation 3,Sony,Naughty Dog,9.5,,8.15,2013
31,133,GoldenEye 007,Nintendo 64,Nintendo,Rare Ltd.,9.8,,8.09,1997
3075,134,Star Wars Battlefront (2015),Sony Playstation 4,Electronic Arts,EA DICE,7.1,,8.03,2015
3076,135,FIFA 13,Sony PlayStation 3,EA Sports,EA Canada,,,8.01,2012
3077,136,NBA 2K20,Sony Playstation 4,2K Sports,Visual Concepts,7.8,1.2,8.0,2019
8791,137,Halo 2,Microsoft Xbox,Microsoft,Bungie Studios,9.6,,8.0,2004
32,143,The Legend of Zelda: Ocarina of Time,Nintendo 64,Nintendo,Nintendo EAD,9.9,10.0,7.6,1998
3078,141,God of War III,Sony PlayStation 3,Sony,SCEA Santa Monica Studio,9.2,9.4,7.6,2010
3079,144,Crash Bandicoot 2: Cortex Strikes Back,Sony PlayStation,Sony,Naughty Dog,8.6,,7.58,1997
3080,145,Call of Duty: Advanced Warfare,Sony Playstation 4,Activision,Sledgehammer Games,8.5,5.7,7.53,2014
8792,146,Call of Duty: World at War,Microsoft Xbox 360,Activision,Treyarch,8.5,7.8,7.5,2008
33,147,Super Mario Bros. 2,NES,Nintendo,Nintendo EAD,8.5,8.1,7.46,1988
34,148,Super Mario Galaxy 2,Nintendo Wii,Nintendo,Nintendo EAD Tokyo,9.7,9.8,7.41,2010
35,149,Super Smash Bros. Melee,Nintendo GameCube,Nintendo,HAL Laboratory,9.2,,7.41,2001
8793,150,Call of Duty: Black Ops 3,Microsoft Xbox One,Activision,Treyarch,,,7.37,2015
8794,151,Battlefield 3,Microsoft Xbox 360,Electronic Arts,Dice,8.5,,7.35,2011
36,153,The Legend of Zelda: Twilight Princess,Nintendo Wii,Nintendo,Nintendo EAD,9.5,9.6,7.26,2006
3081,154,Battlefield 1,Sony Playstation 4,Electronic Arts,EA DICE,9.1,7.9,7.26,2016
3082,155,Battlefield 3,Sony PlayStation 3,Electronic Arts,Dice,8.5,,7.21,2011
3083,156,Need for Speed Underground,Sony PlayStation 2,Electronic Arts,EA Black Box,8.6,,7.2,2003
3084,158,FIFA 20,Sony Playstation 4,Electronic Arts,EA Sports,7.9,1.1,7.15,2019
3085,159,Crash Bandicoot 3: Warped,Sony PlayStation,Sony,Naughty Dog,9.3,,7.13,1998
3086,162,Need for Speed Underground 2,Sony PlayStation 2,Electronic Arts,EA Black Box,8.3,,6.9,2004
37,163,Just Dance 4,Nintendo Wii,Ubisoft,Ubisoft,,,6.89,2012
38,164,Mario Kart: Double Dash!!,Nintendo GameCube,Nintendo,Nintendo EAD,8.5,,6.88,2003
3087,165,Medal of Honor: Frontline,Sony PlayStation 2,Electronic Arts,EA Los Angeles,9.0,,6.83,2002
3088,166,Crash Bandicoot,Sony PlayStation,Sony,Naughty Dog,7.8,,6.82,1996
3089,167,Uncharted 2: Among Thieves,Sony PlayStation 3,Sony,Naughty Dog,9.5,9.6,6.74,2009
3090,168,Call of Duty 4: Modern Warfare,Sony PlayStation 3,Activision,Infinity Ward,9.5,9.6,6.72,2007
3091,169,FIFA Soccer 12,Sony PlayStation 3,EA Sports,EA Canada,9.2,,6.65,2011
3092,170,FIFA 14,Sony PlayStation 3,EA Sports,EA Canada,9.0,,6.61,2013
39,172,New Super Mario Bros. U Deluxe,Nintendo Switch,Nintendo,Nintendo EPD,8.0,6.6,6.6,2019
3093,174,Red Dead Redemption,Sony PlayStation 3,Rockstar Games,Rockstar San Diego,9.5,,6.57,2011
40,175,Donkey Kong Country Returns,Nintendo Wii,Nintendo,Retro Studios,8.6,,6.53,2010
41,176,The Legend of Zelda,NES,Nintendo,Nintendo EAD,8.4,8.8,6.51,1987
3094,177,Assassin's Creed III,Sony PlayStation 3,Ubisoft,Ubisoft Montreal,8.8,,6.5,2012
8795,179,Red Dead Redemption,Microsoft Xbox 360,Rockstar Games,Rockstar San Diego,9.5,10.0,6.5,2010
3095,180,The Elder Scrolls V: Skyrim,Sony PlayStation 3,Bethesda Softworks,Bethesda Game Studios,9.0,,6.49,2011
3096,181,Final Fantasy XII,Sony PlayStation 2,Square Enix,Square Enix,9.4,9.5,6.4,2006
8796,183,Halo 3: ODST,Microsoft Xbox 360,Microsoft,Bungie,8.7,,6.35,2009
42,185,Luigi's Mansion 3,Nintendo Switch,Nintendo,"Next Level Games, Inc.",8.6,8.5,6.33,2019
3097,184,Minecraft,Sony Playstation 4,Sony,Mojang,9.4,,6.33,2014
3098,186,FIFA 15,Sony Playstation 4,EA Sports,EA Canada,8.1,5.7,6.32,2014
43,189,Street Fighter II: The World Warrior,SNES,Capcom,Capcom,,,6.3,1992
3099,187,Kingdom Hearts,Sony PlayStation 2,Square EA,SquareSoft,8.5,,6.3,2002
3100,190,Driver,Sony PlayStation,GT Interactive,Reflections Interactive,8.5,,6.27,1999
8797,191,Call of Duty: WWII,Microsoft Xbox One,Activision,Sledgehammer Games,8.0,4.0,6.23,2017
3101,194,Minecraft,Sony PlayStation 3,Sony,Mojang,9.5,,6.05,2014
3102,195,Metal Gear Solid 2: Sons of Liberty,Sony PlayStation 2,Konami,Konami Computer Entertainment Japan,9.5,7.0,6.05,2001
3103,198,Metal Gear Solid,Sony PlayStation,Konami,Konami Computer Entertainment Japan,9.3,,6.0,1998
3104,200,Metal Gear Solid 4: Guns of the Patriots,Sony PlayStation 3,Konami,Kojima Productions,9.3,9.8,6.0,2008
44,203,Super Mario Sunshine,Nintendo GameCube,Nintendo,Nintendo EAD,9.2,,5.91,2002
45,204,Super Mario 3D World,Nintendo Wii U,Nintendo,Nintendo EAD Tokyo,9.5,8.9,5.84,2013
46,206,New Super Mario Bros. U,Nintendo Wii U,Nintendo,Nintendo EAD,8.4,8.0,5.8,2012
47,207,Link's Crossbow Training,Nintendo Wii,Nintendo,Nintendo EAD,6.9,,5.79,2007
8798,208,Red Dead Redemption 2,Microsoft Xbox One,Rockstar Games,Rockstar Games,9.7,7.4,5.77,2018
3105,209,Destiny,Sony Playstation 4,Activision,Bungie,7.6,6.1,5.76,2014
3106,210,Tekken 2,Sony PlayStation,Namco,Namco,9.1,,5.74,1996
3107,211,Uncharted: The Nathan Drake Collection,Sony Playstation 4,Sony,Bluepoint Games,8.6,8.5,5.7,2015
48,213,LEGO Star Wars: The Complete Saga,Nintendo Wii,LucasArts,Traveller's Tales,8.0,,5.66,2007
49,215,Tetris,NES,Nintendo,Nintendo,,,5.58,1989
3108,217,Assassin's Creed II,Sony PlayStation 3,Ubisoft,Ubisoft Montreal,9.0,,5.57,2009
50,218,Super Smash Bros.,Nintendo 64,Nintendo,HAL Laboratory,8.4,,5.55,1999
8799,219,Assassin's Creed,Microsoft Xbox 360,Ubisoft,Ubisoft Montreal,8.2,8.0,5.55,2007
3109,220,Batman: Arkham City,Sony PlayStation 3,Warner Bros,Rocksteady Studios,9.6,,5.54,2011
3110,223,Final Fantasy IX,Sony PlayStation,Square,SquareSoft,9.2,,5.5,2000
3111,224,Final Fantasy X-2,Sony PlayStation 2,Square Enix,Square Enix,8.3,,5.5,2003
8800,221,Forza Motorsport 3,Microsoft Xbox 360,Microsoft,Turn 10 Studios,9.2,9.8,5.5,2009
51,227,Super Mario Maker 2,Nintendo Switch,Nintendo,Nintendo,8.8,8.5,5.48,2019
52,228,Pokemon Stadium,Nintendo 64,Nintendo,HAL Laboratory,7.5,,5.46,2000
3112,230,Call of Duty: World at War,Sony PlayStation 3,Activision,Treyarch,8.4,,5.43,2008
8801,229,Minecraft,Microsoft Xbox One,Microsoft,Mojang,,,5.43,2014
3113,232,Crash Bandicoot: The Wrath of Cortex,Sony PlayStation 2,Universal Interactive,Traveller's Tales,6.9,,5.42,2001
53,233,Super Smash Bros. for Wii U,Nintendo Wii U,Nintendo,Bandai Namco Games,9.2,8.9,5.37,2014
3114,234,Final Fantasy XIII,Sony PlayStation 3,Square Enix,Square Enix,8.0,9.2,5.35,2010
3115,235,Gran Turismo 5 Prologue,Sony PlayStation 3,Sony,Polyphony Digital,8.3,,5.35,2008
