,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
15,16,Kinect Adventures!,Microsoft Xbox 360,Microsoft,Good Science Studio,6.7,,24.0,2010
40,41,Grand Theft Auto V,Microsoft Xbox 360,Rockstar Games,Rockstar North,10.0,,15.86,2013
47,48,Call of Duty: Modern Warfare 3,Microsoft Xbox 360,Activision,Infinity Ward,8.7,,14.82,2011
48,49,Call of Duty: Black Ops,Microsoft Xbox 360,Activision,Treyarch,8.8,,14.74,2010
50,51,Halo 3,Microsoft Xbox 360,Microsoft,Bungie Studios,9.6,9.5,14.5,2007
54,55,Call of Duty: Black Ops II,Microsoft Xbox 360,Activision,Treyarch,9.3,,13.86,2012
56,57,Call of Duty: Modern Warfare 2,Microsoft Xbox 360,Activision,Infinity Ward,9.5,9.0,13.53,2009
65,66,Minecraft,Microsoft Xbox 360,Microsoft,Mojang,8.5,,13.0,2013
85,86,Grand Theft Auto IV,Microsoft Xbox 360,Rockstar Games,Rockstar North,10.0,,11.09,2008
95,96,Call of Duty: Ghosts,Microsoft Xbox 360,Activision,Infinity Ward,6.9,,10.41,2013
102,103,Halo: Reach,Microsoft Xbox 360,Microsoft,Bungie,9.3,,9.97,2010
104,105,Halo 4,Microsoft Xbox 360,Microsoft,343 Industries,9.8,,9.96,2012
108,109,Call of Duty 4: Modern Warfare,Microsoft Xbox 360,Activision,Infinity Ward,9.6,9.0,9.41,2007
118,119,The Elder Scrolls V: Skyrim,Microsoft Xbox 360,Bethesda Softworks,Bethesda Game Studios,9.3,,8.88,2011
122,123,Grand Theft Auto V,Microsoft Xbox One,Rockstar Games,Rockstar North,9.0,9.0,8.72,2014
136,137,Halo 2,Microsoft Xbox,Microsoft,Bungie Studios,9.6,,8.0,2004
145,146,Call of Duty: World at War,Microsoft Xbox 360,Activision,Treyarch,8.5,7.8,7.5,2008
149,150,Call of Duty: Black Ops 3,Microsoft Xbox One,Activision,Treyarch,,,7.37,2015
150,151,Battlefield 3,Microsoft Xbox 360,Electronic Arts,Dice,8.5,,7.35,2011
178,179,Red Dead Redemption,Microsoft Xbox 360,Rockstar Games,Rockstar San Diego,9.5,10.0,6.5,2010
182,183,Halo 3: ODST,Microsoft Xbox 360,Microsoft,Bungie,8.7,,6.35,2009
190,191,Call of Duty: WWII,Microsoft Xbox One,Activision,Sledgehammer Games,8.0,4.0,6.23,2017
207,208,Red Dead Redemption 2,Microsoft Xbox One,Rockstar Games,Rockstar Games,9.7,7.4,5.77,2018
218,219,Assassin's Creed,Microsoft Xbox 360,Ubisoft,Ubisoft Montreal,8.2,8.0,5.55,2007
220,221,Forza Motorsport 3,Microsoft Xbox 360,Microsoft,Turn 10 Studios,9.2,9.8,5.5,2009
228,229,Minecraft,Microsoft Xbox One,Microsoft,Mojang,,,5.43,2014
236,237,Assassin's Creed III,Microsoft Xbox 360,Ubisoft,Ubisoft Montreal,8.5,,5.31,2012
238,239,Assassin's Creed II,Microsoft Xbox 360,Ubisoft,Ubisoft Montreal,9.1,,5.3,2009
244,245,Call of Duty: Advanced Warfare,Microsoft Xbox One,Activision,Sledgehammer Games,8.3,5.5,5.22,2014
