,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
0,1,Wii Sports,Nintendo Wii,Nintendo,Nintendo EAD,7.7,8.0,82.9,2006
1,2,Super Mario Bros.,NES,Nintendo,Nintendo EAD,10.0,8.2,40.24,1985
3,4,Mario Kart Wii,Nintendo Wii,Nintendo,Nintendo EAD,8.2,9.1,37.32,2008
6,7,Wii Sports Resort,Nintendo Wii,Nintendo,Nintendo EAD,8.0,8.8,33.13,2009
9,10,New Super Mario Bros. Wii,Nintendo Wii,Nintendo,Nintendo EAD,8.6,9.2,30.3,2009
12,13,Duck Hunt,NES,Nintendo,Nintendo R&D1,7.5,8.3,28.31,1985
13,14,Wii Play,Nintendo Wii,Nintendo,Nintendo EAD,5.9,6.5,28.02,2007
14,15,Mario Kart 8 Deluxe,Nintendo Switch,Nintendo,Nintendo EPD,9.3,8.7,24.77,2017
19,20,Wii Fit,Nintendo Wii,Nintendo,Nintendo EAD,7.9,,22.67,2008
20,21,Wii Fit Plus,Nintendo Wii,Nintendo,Nintendo EAD,8.0,,21.13,2009
21,22,Super Mario World,SNES,Nintendo,Nintendo EAD,8.5,9.3,20.61,1991
25,26,Super Smash Bros. Ultimate,Nintendo Switch,Nintendo,Bandai Namco Games,9.4,9.7,18.84,2018
29,30,Super Mario Odyssey,Nintendo Switch,Nintendo,Nintendo EPD,9.9,9.0,17.41,2017
30,31,The Legend of Zelda: Breath of the Wild,Nintendo Switch,Nintendo,Nintendo EPD,9.9,10.0,17.41,2017
31,32,Pokemon Sword / Shield,Nintendo Switch,Nintendo,Game Freak,8.0,4.6,17.37,2019
33,34,Super Mario Bros. 3,NES,Nintendo,Nintendo R&D2,9.8,9.3,17.28,1990
57,58,Animal Crossing: New Horizons,Nintendo Switch,Nintendo,Nintendo,9.0,5.4,13.41,2020
61,62,Super Smash Bros. Brawl,Nintendo Wii,Nintendo,Project Sora,9.2,9.7,13.32,2008
66,67,Super Mario Galaxy,Nintendo Wii,Nintendo,Nintendo EAD Tokyo,9.7,9.6,12.8,2007
77,78,"Pokemon: Let's Go, Pikachu/Eevee",Nintendo Switch,Nintendo,Game Freak,8.0,6.2,11.97,2018
79,80,Super Mario 64,Nintendo 64,Nintendo,Nintendo EAD,9.7,9.0,11.91,1996
94,95,Super Mario All-Stars,SNES,Nintendo,Nintendo EAD,9.2,9.5,10.55,1993
96,97,Just Dance 3,Nintendo Wii,Ubisoft,Ubisoft Paris,7.5,,10.14,2011
98,99,Splatoon 2,Nintendo Switch,Nintendo,Nintendo EPD,8.2,8.5,10.13,2017
99,100,Super Mario Party,Nintendo Switch,Nintendo,"Nd Cube Co., Ltd.",7.3,7.5,10.1,2018
106,107,Mario Kart 64,Nintendo 64,Nintendo,Nintendo EAD,8.5,,9.87,1997
110,111,Wii Party,Nintendo Wii,Nintendo,"Nd Cube Co., Ltd.",7.0,,9.34,2010
113,114,Donkey Kong Country,SNES,Nintendo,Rare Ltd.,9.0,8.8,9.3,1994
119,120,Mario Party 8,Nintendo Wii,Nintendo,Hudson Soft,6.5,,8.85,2007
121,122,Super Mario Kart,SNES,Nintendo,Nintendo EAD,10.0,,8.76,1992
128,129,Mario Kart 8,Nintendo Wii U,Nintendo,Nintendo,8.8,8.9,8.45,2014
132,133,GoldenEye 007,Nintendo 64,Nintendo,Rare Ltd.,9.8,,8.09,1997
142,143,The Legend of Zelda: Ocarina of Time,Nintendo 64,Nintendo,Nintendo EAD,9.9,10.0,7.6,1998
146,147,Super Mario Bros. 2,NES,Nintendo,Nintendo EAD,8.5,8.1,7.46,1988
147,148,Super Mario Galaxy 2,Nintendo Wii,Nintendo,Nintendo EAD Tokyo,9.7,9.8,7.41,2010
148,149,Super Smash Bros. Melee,Nintendo GameCube,Nintendo,HAL Laboratory,9.2,,7.41,2001
152,153,The Legend of Zelda: Twilight Princess,Nintendo Wii,Nintendo,Nintendo EAD,9.5,9.6,7.26,2006
162,163,Just Dance 4,Nintendo Wii,Ubisoft,Ubisoft,,,6.89,2012
163,164,Mario Kart: Double Dash!!,Nintendo GameCube,Nintendo,Nintendo EAD,8.5,,6.88,2003
171,172,New Super Mario Bros. U Deluxe,Nintendo Switch,Nintendo,Nintendo EPD,8.0,6.6,6.6,2019
174,175,Donkey Kong Country Returns,Nintendo Wii,Nintendo,Retro Studios,8.6,,6.53,2010
175,176,The Legend of Zelda,NES,Nintendo,Nintendo EAD,8.4,8.8,6.51,1987
184,185,Luigi's Mansion 3,Nintendo Switch,Nintendo,"Next Level Games, Inc.",8.6,8.5,6.33,2019
188,189,Street Fighter II: The World Warrior,SNES,Capcom,Capcom,,,6.3,1992
202,203,Super Mario Sunshine,Nintendo GameCube,Nintendo,Nintendo EAD,9.2,,5.91,2002
203,204,Super Mario 3D World,Nintendo Wii U,Nintendo,Nintendo EAD Tokyo,9.5,8.9,5.84,2013
205,206,New Super Mario Bros. U,Nintendo Wii U,Nintendo,Nintendo EAD,8.4,8.0,5.8,2012
206,207,Link's Crossbow Training,Nintendo Wii,Nintendo,Nintendo EAD,6.9,,5.79,2007
212,213,LEGO Star Wars: The Complete Saga,Nintendo Wii,LucasArts,Traveller's Tales,8.0,,5.66,2007
214,215,Tetris,NES,Nintendo,Nintendo,,,5.58,1989
217,218,Super Smash Bros.,Nintendo 64,Nintendo,HAL Laboratory,8.4,,5.55,1999
226,227,Super Mario Maker 2,Nintendo Switch,Nintendo,Nintendo,8.8,8.5,5.48,2019
227,228,Pokemon Stadium,Nintendo 64,Nintendo,HAL Laboratory,7.5,,5.46,2000
232,233,Super Smash Bros. for Wii U,Nintendo Wii U,Nintendo,Bandai Namco Games,9.2,8.9,5.37,2014
240,241,Donkey Kong 64,Nintendo 64,Nintendo,Rare Ltd.,9.3,,5.27,1999
241,242,Just Dance 2,Nintendo Wii,Ubisoft,Ubisoft Paris,7.3,,5.25,2010
248,249,Nintendo Land,Nintendo Wii U,Nintendo,Nintendo,7.8,7.9,5.2,2012
250,251,Donkey Kong Country 2: Diddy's Kong Quest,SNES,Nintendo,Rare Ltd.,9.3,,5.15,1995
276,277,Splatoon,Nintendo Wii U,Nintendo,Nintendo EAD,8.4,8.7,4.95,2015
281,282,Diddy Kong Racing,Nintendo 64,Nintendo,Rare Ltd.,8.3,,4.88,1997
284,285,Dr. Mario,NES,Nintendo,Nintendo R&D1,,,4.85,1990
300,301,The Legend of Zelda: A Link to the Past,SNES,Nintendo,Nintendo EAD,10.0,,4.61,1992
303,304,Guitar Hero III: Legends of Rock,Nintendo Wii,RedOctane,Vicarious Visions,8.6,,4.6,2007
305,306,"Pokemon: Let's Go, Pikachu!",Nintendo Switch,Nintendo,Game Freak,8.3,6.1,4.57,2018
309,310,Mario & Sonic at the Olympic Winter Games,Nintendo Wii,Sega,Sega,6.8,,4.54,2009
326,327,The Legend of Zelda: The Wind Waker,Nintendo GameCube,Nintendo,Nintendo EAD,9.6,,4.43,2003
329,330,The Legend of Zelda: Link's Awakening,Nintendo Switch,Nintendo,Nintendo,8.7,8.4,4.38,2019
330,331,Zelda II: The Adventure of Link,NES,Nintendo,Nintendo EAD,,,4.38,1988
331,332,Michael Jackson: The Experience,Nintendo Wii,Ubisoft,Ubisoft Montpellier,5.6,,4.37,2010
338,339,Animal Crossing: City Folk,Nintendo Wii,Nintendo,Nintendo EAD,7.1,8.8,4.32,2008
349,350,Super Paper Mario,Nintendo Wii,Nintendo,Intelligent Systems,8.5,,4.23,2007
361,361,Teenage Mutant Ninja Turtles,NES,Ultra Games,Konami,5.9,,4.17,1989
363,363,Excitebike,NES,Nintendo,Nintendo R&D1,8.4,,4.16,1985
370,370,Super Mario World 2: Yoshi's Island,SNES,Nintendo,Nintendo EAD,9.0,,4.12,1995
375,375,Street Fighter II Turbo,SNES,Capcom,Capcom,9.0,,4.1,1993
380,380,Carnival Games,Nintendo Wii,Global Star Software,Cat Daddy Games,4.2,,4.06,2007
385,385,Golf,NES,Nintendo,Nintendo,,,4.01,1985
386,386,Super Mario Maker,Nintendo Wii U,Nintendo,Nintendo EAD,8.8,8.7,4.01,2015
391,391,Just Dance,Nintendo Wii,Ubisoft,Ubisoft Paris,5.4,,4.0,2009
393,393,Star Fox 64,Nintendo 64,Nintendo,Nintendo EAD,9.0,,4.0,1997
405,405,EA Sports Active,Nintendo Wii,EA Sports,EA Vancouver,8.3,,3.93,2009
409,409,Dragon Quest III,NES,Enix,ChunSoft,,8.0,3.9,1992
411,411,Just Dance 2014,Nintendo Wii,Ubisoft,Ubisoft Paris,7.4,,3.89,2013
431,430,The Legend of Zelda: Skyward Sword,Nintendo Wii,Nintendo,Nintendo EAD,9.4,,3.67,2011
435,434,Banjo-Kazooie,Nintendo 64,Nintendo,Rare Ltd.,9.3,9.4,3.65,1998
439,438,Pokemon Snap,Nintendo 64,Nintendo,HAL Laboratory,7.9,,3.63,1999
442,441,Guitar Hero: World Tour,Nintendo Wii,Activision,Vicarious Visions,8.4,,3.62,2008
469,468,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,Nintendo,Rare Ltd.,8.8,,3.51,1996
472,471,Kung Fu,NES,Nintendo,Irem Software Engineering,,,3.5,1985
502,501,The Legend of Zelda: Majora's Mask,Nintendo 64,Nintendo,Nintendo EAD,9.3,,3.36,2000
507,506,Big Brain Academy: Wii Degree,Nintendo Wii,Nintendo,Nintendo EAD,7.1,,3.34,2007
509,508,Luigi's Mansion,Nintendo GameCube,Nintendo,Nintendo EAD,7.9,,3.33,2001
531,530,Baseball,NES,Nintendo,Nintendo,5.5,,3.2,1985
533,532,Dragon Quest IV,NES,Enix,ChunSoft,,,3.2,1992
534,533,Dragon Quest VI: Maboroshi no Daichi,SNES,Enix,Heart Beat,,,3.2,1995
535,534,Killer Instinct,SNES,Nintendo,Rare Ltd.,,,3.2,1995
550,549,Star Wars Episode I Racer,Nintendo 64,LucasArts,LucasArts,8.7,,3.12,1999
557,556,Mario Party 9,Nintendo Wii,Nintendo,"Nd Cube Co., Ltd.",6.5,,3.11,2012
561,560,World Class Track Meet,NES,Bandai,Bandai,,,3.08,1987
562,561,LEGO Batman: The Videogame,Nintendo Wii,Warner Bros. Interactive,Traveller's Tales,7.3,,3.08,2008
569,568,New Super Luigi U,Nintendo Wii U,Nintendo,Nintendo,7.8,8.0,3.05,2013
576,575,Mike Tyson's Punch-Out!!,NES,Nintendo,Nintendo IRD,,,3.02,1987
579,578,Disney Epic Mickey,Nintendo Wii,Disney,Junction Point Studios,7.0,,3.02,2010
581,580,1-2-Switch,Nintendo Switch,Nintendo,Nintendo EPD,5.7,,3.01,2017
589,588,Sonic and the Secret Rings,Nintendo Wii,Sega,Sonic Team,6.7,,3.0,2007
596,595,Star Fox,SNES,Nintendo,Argonaut Games,,,2.99,1993
612,611,Wave Race 64,Nintendo 64,Nintendo,Nintendo EAD,9.2,,2.94,1996
621,620,Final Fantasy III,SNES,Square,SquareSoft,9.1,,2.9,1994
625,624,Cooking Mama: Cook Off,Nintendo Wii,Majesco,Office Create,5.9,,2.89,2007
630,629,Fire Emblem: Three Houses,Nintendo Switch,Nintendo,Intelligent Systems,8.9,8.7,2.87,2019
634,633,Wii Music,Nintendo Wii,Nintendo,Nintendo EAD,5.6,,2.86,2008
639,638,F-Zero,SNES,Nintendo,Nintendo EAD,,,2.85,1991
640,639,Yoshi's Story,Nintendo 64,Nintendo,Nintendo EAD,,,2.85,1998
642,641,Metroid Prime,Nintendo GameCube,Nintendo,Retro Studios,9.6,9.5,2.84,2002
643,642,Zumba Fitness 2,Nintendo Wii,Majesco,"Pipeworks Software, Inc.",,,2.83,2011
659,658,Dragon Quest V: Tenkuu no Hanayome,SNES,Enix,ChunSoft,,,2.8,1992
664,663,Skylanders: Spyro's Adventure,Nintendo Wii,Activision,Toys for Bob,8.0,,2.79,2011
678,677,Mario Tennis Aces,Nintendo Switch,Nintendo,Camelot Software Planning,7.8,7.1,2.75,2018
683,682,Metroid,NES,Nintendo,Nintendo R&D1,8.0,,2.73,1987
684,683,Ring Fit Adventure,Nintendo Switch,Nintendo,Nintendo EPD,8.3,8.8,2.73,2019
686,685,"Pokemon: Let's Go, Eevee!",Nintendo Switch,Nintendo,Game Freak,8.3,6.1,2.73,2018
696,695,Mario Party,Nintendo 64,Nintendo,Hudson Soft,7.6,,2.7,1999
713,712,Star Wars: Shadows of the Empire,Nintendo 64,Nintendo,LucasArts,6.5,,2.65,1996
714,713,Super Mario Bros. 2 (FDS),NES,Nintendo,Nintendo EAD,8.5,8.1,2.65,1986
727,726,Mario Strikers Charged,Nintendo Wii,Nintendo,Next Level Games,7.7,,2.6,2007
732,731,Mario + Rabbids: Kingdom Battle,Nintendo Switch,Ubisoft,Ubisoft Milan,8.3,8.5,2.59,2017
739,738,Skylanders Giants,Nintendo Wii,Activision,Toys for Bob,8.0,,2.58,2012
747,746,Kirby Star Allies,Nintendo Switch,Nintendo,HAL Laboratory,8.1,10.0,2.56,2018
750,749,Pokemon Stadium 2,Nintendo 64,Nintendo,HAL Laboratory,7.9,,2.54,2001
755,754,Perfect Dark,Nintendo 64,Rare,Rare Ltd.,9.7,,2.52,2000
765,764,Dragon Quest II,NES,Enix,ChunSoft,,,2.5,1990
774,773,Game Party,Nintendo Wii,Midway Games,JGI Entertainment,2.6,,2.49,2007
777,776,Mario Party 2,Nintendo 64,Nintendo,Hudson Soft,7.9,,2.48,2000
789,788,Mario Party 4,Nintendo GameCube,Nintendo,Hudson Soft,7.0,,2.46,2002
793,792,LEGO Harry Potter: Years 1-4,Nintendo Wii,Warner Bros. Interactive,Traveller's Tales,7.9,,2.45,2010
794,793,uDraw Studio,Nintendo Wii,THQ,"Pipeworks Software, Inc.",,,2.44,2010
799,798,Ice Hockey,NES,Nintendo,Nintendo,7.0,,2.42,1988
806,805,Pokemon Colosseum,Nintendo GameCube,Nintendo,Genius Sonority Inc.,7.0,,2.41,2004
815,814,Final Fantasy V,SNES,Square,SquareSoft,7.5,,2.4,1992
817,816,Pro Wrestling,NES,Nintendo,TRY Corporation,,,2.4,1987
824,823,Mario & Sonic at the London 2012 Olympic Games,Nintendo Wii,Sega,Sega,6.8,,2.39,2011
829,828,WCW/nWo Revenge,Nintendo 64,THQ,Aki Corp.,,,2.38,1998
846,845,WarioWare: Smooth Moves,Nintendo Wii,Nintendo,Intelligent Systems,8.2,,2.35,2007
847,846,LEGO Indiana Jones: The Original Adventures,Nintendo Wii,LucasArts,Traveller's Tales,7.8,,2.35,2008
854,853,My Fitness Coach,Nintendo Wii,Ubisoft,Ubisoft,7.1,,2.32,2008
856,855,Mario Super Sluggers,Nintendo Wii,Nintendo,Bandai Namco Games / NOW Production,6.7,,2.32,2008
857,856,Mario Tennis,Nintendo 64,Nintendo,Camelot Software Planning,8.8,,2.32,2000
863,862,Mario Paint,SNES,Nintendo,Intelligent Systems,,,2.31,1992
864,863,The Legend of Zelda: The Wind Waker,Nintendo Wii U,Nintendo,Nintendo EAD,9.3,,2.31,2013
869,868,Chrono Trigger,SNES,Square,SquareSoft,8.8,,2.3,1995
879,878,Mario Bros.,NES,Nintendo,Nintendo R&D1,4.5,,2.28,1986
884,883,Animal Crossing,Nintendo GameCube,Nintendo,Nintendo EAD,8.3,,2.27,2002
892,891,Donkey Kong Country: Tropical Freeze,Nintendo Switch,Nintendo,Retro Studios,9.1,9.1,2.25,2018
895,894,Just Dance Kids,Nintendo Wii,Ubisoft,Ubisoft Paris,,,2.25,2010
897,896,Call of Duty 3,Nintendo Wii,Activision,EXAKT Entertainment,6.8,7.3,2.24,2006
900,899,Super Mario All-Stars: Limited Edition,Nintendo Wii,Nintendo,Nintendo EAD,7.2,,2.24,2010
903,902,Mario Party 10,Nintendo Wii U,Nintendo,"Nd Cube Co., Ltd.",6.3,6.4,2.23,2015
904,903,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,Ultra Games,Konami,,,2.23,1990
914,913,ARMS,Nintendo Switch,Nintendo,Nintendo EPD,7.9,7.1,2.21,2017
922,921,R.B.I. Baseball,NES,Tengen,Namco,,,2.2,1988
928,927,Skylanders SWAP Force,Nintendo Wii,Activision,Beenox,,,2.19,2013
940,939,Mario Party 5,Nintendo GameCube,Nintendo,Hudson Soft,5.9,,2.17,2003
941,940,Star Wars: Rogue Squadron,Nintendo 64,LucasArts,Factor 5,9.0,,2.17,1998
942,941,Tennis,NES,Nintendo,Nintendo,,,2.17,1985
950,949,Your Shape featuring Jenny McCarthy,Nintendo Wii,Ubisoft,Ubisoft,6.0,,2.16,2009
956,955,Volleyball,NES,Nintendo,Nintendo R&D1,,,2.15,1987
958,957,Mahjong,NES,Nintendo,Nintendo,,,2.14,1983
959,958,Mario & Sonic at the Olympic Games,Nintendo Wii,Sega,Sega,7.2,,2.14,2007
960,959,R.C. Pro-Am,NES,Nintendo,Rare Ltd.,,,2.14,1988
962,961,Super Mario RPG: Legend of the Seven Stars,SNES,Nintendo,SquareSoft,,,2.14,1996
972,971,Tony Hawk's Pro Skater,Nintendo 64,Activision,Edge of Reality,9.3,,2.11,2000
